Device,VKey,ScanCode,E0,E1,Edge,HostTimestamp_ns,KeyName
85922219,66,48,0,0,DOWN,346312344088,"B"
85922219,68,32,0,0,DOWN,346344091188,"D"
85922219,71,34,0,0,DOWN,346385499188,"G"
85922219,70,33,0,0,DOWN,346417291288,"F"
85922219,69,18,0,0,DOWN,346447976188,"E"
85922219,82,19,0,0,DOWN,346521711488,"R"
85922219,78,49,0,0,DOWN,346624254588,"N"
85922219,76,38,0,0,DOWN,346664482288,"L"
85922219,39,77,1,0,DOWN,346696468388,"NACH-RECHTS"
85922219,66,48,0,0,DOWN,346736400388,"B"
85922219,68,32,0,0,DOWN,346768324888,"D"
85922219,70,33,0,0,DOWN,346841720988,"F"
85922219,69,18,0,0,DOWN,346872010388,"E"
85922219,82,19,0,0,DOWN,346945621188,"R"
85922219,78,49,0,0,DOWN,347049881088,"N"
85922219,76,38,0,0,DOWN,347081698588,"L"
85922219,39,77,1,0,DOWN,347121041888,"NACH-RECHTS"
85922219,66,48,0,0,DOWN,347152915088,"B"
85922219,68,32,0,0,DOWN,347192308088,"D"
85922219,70,33,0,0,DOWN,347257883788,"F"
85922219,69,18,0,0,DOWN,347296314688,"E"
85922219,72,35,0,0,DOWN,347328254388,"H"
85922219,82,19,0,0,DOWN,347360135888,"R"
85922219,85,22,0,0,DOWN,347392153488,"U"
85922219,78,49,0,0,DOWN,347464537688,"N"
85922219,76,38,0,0,DOWN,347496870488,"L"
85922219,39,77,1,0,DOWN,347545393888,"NACH-RECHTS"
85922219,66,48,0,0,DOWN,347576452588,"B"
85922219,68,32,0,0,DOWN,347608331088,"D"
85922219,71,34,0,0,DOWN,347641950588,"G"
85922219,70,33,0,0,DOWN,347671791988,"F"
85922219,69,18,0,0,DOWN,347712803488,"E"
85922219,72,35,0,0,DOWN,347744059188,"H"
85922219,82,19,0,0,DOWN,347775931788,"R"
85922219,85,22,0,0,DOWN,347816994388,"U"
85922219,78,49,0,0,DOWN,347888839088,"N"
85922219,76,38,0,0,DOWN,347920546088,"L"
85922219,39,77,1,0,DOWN,347960320188,"NACH-RECHTS"
85922219,66,48,0,0,DOWN,347992640888,"B"
85922219,68,32,0,0,DOWN,348024077988,"D"
85922219,70,33,0,0,DOWN,348097290288,"F"
85922219,69,18,0,0,DOWN,348128354888,"E"
85922219,82,19,0,0,DOWN,348202251488,"R"
85922219,78,49,0,0,DOWN,348305537288,"N"
85922219,76,38,0,0,DOWN,348344520588,"L"
85922219,39,77,1,0,DOWN,348376159888,"NACH-RECHTS"
85922219,66,48,0,0,DOWN,348416427088,"B"
85922219,68,32,0,0,DOWN,348448279588,"D"
85922219,70,33,0,0,DOWN,348521460688,"F"
85922219,69,18,0,0,DOWN,348552457588,"E"
85922219,82,19,0,0,DOWN,348625276688,"R"
85922219,78,49,0,0,DOWN,348729260088,"N"
85922219,76,38,0,0,DOWN,348761762588,"L"
85922219,39,77,1,0,DOWN,348799965088,"NACH-RECHTS"
85922219,66,48,0,0,DOWN,348833064688,"B"
85922219,68,32,0,0,DOWN,348872097488,"D"
85922219,70,33,0,0,DOWN,348936421388,"F"
85922219,69,18,0,0,DOWN,348976225388,"E"
85922219,72,35,0,0,DOWN,349000557488,"H"
85922219,82,19,0,0,DOWN,349040044588,"R"
85922219,78,49,0,0,DOWN,349145020288,"N"
85922219,76,38,0,0,DOWN,349178796188,"L"
85922219,39,77,1,0,DOWN,349224755988,"NACH-RECHTS"
85922219,66,48,0,0,DOWN,349257572188,"B"
85922219,68,32,0,0,DOWN,349287884388,"D"
85922219,71,34,0,0,DOWN,349320591888,"G"
85922219,70,33,0,0,DOWN,349351783188,"F"
85922219,69,18,0,0,DOWN,349392852588,"E"
85922219,72,35,0,0,DOWN,349424121888,"H"
85922219,82,19,0,0,DOWN,349456308088,"R"
85922219,85,22,0,0,DOWN,349496902988,"U"
85922219,78,49,0,0,DOWN,349571203388,"N"
85922219,76,38,0,0,DOWN,349600852988,"L"
85922219,39,77,1,0,DOWN,349641129888,"NACH-RECHTS"
85922219,66,48,0,0,DOWN,349672657288,"B"
85922219,68,32,0,0,DOWN,349704318188,"D"
85922219,70,33,0,0,DOWN,349777406188,"F"
85922219,69,18,0,0,DOWN,349808203088,"E"
85922219,82,19,0,0,DOWN,349880576688,"R"
85922219,78,49,0,0,DOWN,349987104988,"N"
85922219,76,38,0,0,DOWN,350024325988,"L"
85922219,39,77,1,0,DOWN,350055885888,"NACH-RECHTS"
85922219,66,48,0,0,DOWN,350096166588,"B"
85922219,68,32,0,0,DOWN,350128567288,"D"
85922219,70,33,0,0,DOWN,350201294788,"F"
85922219,69,18,0,0,DOWN,350232426688,"E"
85922219,82,19,0,0,DOWN,350304874488,"R"
85922219,78,49,0,0,DOWN,350408702288,"N"
85922219,76,38,0,0,DOWN,350440314188,"L"
85922219,39,77,1,0,DOWN,350480001388,"NACH-RECHTS"
85922219,66,48,0,0,DOWN,350512439788,"B"
85922219,68,32,0,0,DOWN,350553341288,"D"
85922219,70,33,0,0,DOWN,350617436088,"F"
85922219,69,18,0,0,DOWN,350656112188,"E"
85922219,72,35,0,0,DOWN,350679873888,"H"
85922219,82,19,0,0,DOWN,350720773388,"R"
85922219,85,22,0,0,DOWN,350751886688,"U"
85922219,78,49,0,0,DOWN,350826082288,"N"
85922219,76,38,0,0,DOWN,350857639388,"L"
85922219,39,77,1,0,DOWN,350905646188,"NACH-RECHTS"
85922219,66,48,0,0,DOWN,350937380488,"B"
85922219,68,32,0,0,DOWN,350968268588,"D"
85922219,71,34,0,0,DOWN,351000348388,"G"
85922219,70,33,0,0,DOWN,351032135988,"F"
85922219,69,18,0,0,DOWN,351072118188,"E"
85922219,72,35,0,0,DOWN,351104276388,"H"
85922219,82,19,0,0,DOWN,351143917588,"R"
85922219,85,22,0,0,DOWN,351176524288,"U"
85922219,78,49,0,0,DOWN,351249232288,"N"
85922219,76,38,0,0,DOWN,351279975188,"L"
85922219,39,77,1,0,DOWN,351321200588,"NACH-RECHTS"
85922219,66,48,0,0,DOWN,351352164488,"B"
85922219,68,32,0,0,DOWN,351384122988,"D"
85922219,70,33,0,0,DOWN,351456597388,"F"
85922219,69,18,0,0,DOWN,351488185888,"E"
85922219,82,19,0,0,DOWN,351561195488,"R"
85922219,78,49,0,0,DOWN,351665759088,"N"
85922219,76,38,0,0,DOWN,351704447588,"L"
85922219,39,77,1,0,DOWN,351735829188,"NACH-RECHTS"
85922219,66,48,0,0,DOWN,351777440788,"B"
85922219,68,32,0,0,DOWN,351807951488,"D"
85922219,70,33,0,0,DOWN,351881332088,"F"
85922219,69,18,0,0,DOWN,351913446588,"E"
85922219,82,19,0,0,DOWN,351985330888,"R"
85922219,78,49,0,0,DOWN,352089468788,"N"
85922219,76,38,0,0,DOWN,352120941288,"L"
85922219,39,77,1,0,DOWN,352160858788,"NACH-RECHTS"
85922219,66,48,0,0,DOWN,352192085788,"B"
85922219,68,32,0,0,DOWN,352232318388,"D"
85922219,70,33,0,0,DOWN,352296294888,"F"
85922219,69,18,0,0,DOWN,352336450788,"E"
85922219,72,35,0,0,DOWN,352360300988,"H"
85922219,82,19,0,0,DOWN,352400012388,"R"
85922219,85,22,0,0,DOWN,352435052088,"U"
85922219,78,49,0,0,DOWN,352504650088,"N"
85922219,76,38,0,0,DOWN,352536293688,"L"
85922219,39,77,1,0,DOWN,352585325188,"NACH-RECHTS"
85922219,66,48,0,0,DOWN,352616464788,"B"
85922219,68,32,0,0,DOWN,352648199488,"D"
85922219,71,34,0,0,DOWN,352688316788,"G"
85922219,70,33,0,0,DOWN,352712183188,"F"
85922219,69,18,0,0,DOWN,352751980388,"E"
85922219,72,35,0,0,DOWN,352784358788,"H"
85922219,82,19,0,0,DOWN,352824143788,"R"
85922219,78,49,0,0,DOWN,352929432888,"N"
85922219,76,38,0,0,DOWN,352961134988,"L"
85922219,39,77,1,0,DOWN,352999724088,"NACH-RECHTS"
85922219,66,48,0,0,DOWN,353032644288,"B"
85922219,68,32,0,0,DOWN,353064438988,"D"
85922219,70,33,0,0,DOWN,353136999088,"F"
85922219,69,18,0,0,DOWN,353169362888,"E"
85922219,82,19,0,0,DOWN,353240170388,"R"
85922219,78,49,0,0,DOWN,353345262588,"N"
85922219,76,38,0,0,DOWN,353384670788,"L"
85922219,39,77,1,0,DOWN,353416399788,"NACH-RECHTS"
85922219,66,48,0,0,DOWN,353456458188,"B"
85922219,68,32,0,0,DOWN,353488282988,"D"
85922219,70,33,0,0,DOWN,353560956988,"F"
85922219,69,18,0,0,DOWN,353591946588,"E"
85922219,82,19,0,0,DOWN,353664954688,"R"
85922219,78,49,0,0,DOWN,353769850088,"N"
85922219,76,38,0,0,DOWN,353800107288,"L"
85922219,39,77,1,0,DOWN,353840701588,"NACH-RECHTS"
85922219,66,48,0,0,DOWN,353880445288,"B"
85922219,68,32,0,0,DOWN,353914270788,"D"
85922219,70,33,0,0,DOWN,353977721988,"F"
85922219,69,18,0,0,DOWN,354015951788,"E"
85922219,72,35,0,0,DOWN,354039876488,"H"
85922219,82,19,0,0,DOWN,354080381788,"R"
85922219,85,22,0,0,DOWN,354112468588,"U"
85922219,78,49,0,0,DOWN,354185378988,"N"
85922219,76,38,0,0,DOWN,354216043988,"L"
85922219,39,77,1,0,DOWN,354264632688,"NACH-RECHTS"
85922219,66,48,0,0,DOWN,354297106388,"B"
85922219,68,32,0,0,DOWN,354328788188,"D"
85922219,71,34,0,0,DOWN,354360330588,"G"
85922219,70,33,0,0,DOWN,354392131788,"F"
85922219,69,18,0,0,DOWN,354432389888,"E"
85922219,72,35,0,0,DOWN,354464826788,"H"
85922219,82,19,0,0,DOWN,354504928888,"R"
85922219,78,49,0,0,DOWN,354608742588,"N"
85922219,76,38,0,0,DOWN,354640392688,"L"
