Device,VKey,ScanCode,E0,E1,Edge,HostTimestamp_ns
85922219,68,32,0,0,DOWN,201099120059
85922219,66,48,0,0,UP,201115256659
85922219,68,32,0,0,UP,201139571459
85922219,70,33,0,0,DOWN,201155894959
85922219,70,33,0,0,UP,201180095459
85922219,69,18,0,0,DOWN,201186966359
85922219,69,18,0,0,UP,201227093459
85922219,82,19,0,0,DOWN,201243638659
85922219,82,19,0,0,UP,201291330959
85922219,78,49,0,0,DOWN,201331268259
85922219,76,38,0,0,DOWN,201364856559
85922219,78,49,0,0,UP,201370881759
85922219,76,38,0,0,UP,201396271659
85922219,39,77,1,0,DOWN,201398400959
85922219,39,77,1,0,UP,201438163659
85922219,66,48,0,0,DOWN,201444891759
85922219,66,48,0,0,UP,201466333159
76487407,17,29,0,0,DOWN,207403358059
76487407,67,46,0,0,DOWN,207627804759
