timestamp_iso,line_type,us_value,text
2026-02-06T08:21:21.976,DATA,24151065,"24151065 us"
2026-02-06T08:21:21.976,DATA,24201065,"24201065 us"
2026-02-06T08:21:22.080,DATA,24251065,"24251065 us"
2026-02-06T08:21:22.080,DATA,24301065,"24301065 us"
2026-02-06T08:21:22.185,DATA,24351065,"24351065 us"
2026-02-06T08:21:22.185,DATA,24401065,"24401065 us"
2026-02-06T08:21:22.291,DATA,24451065,"24451065 us"
2026-02-06T08:21:22.291,DATA,24501065,"24501065 us"
2026-02-06T08:21:22.395,DATA,24551065,"24551065 us"
2026-02-06T08:21:22.395,DATA,24601065,"24601065 us"
2026-02-06T08:21:22.395,DATA,24651065,"24651065 us"
2026-02-06T08:21:22.501,DATA,24701065,"24701065 us"
2026-02-06T08:21:22.501,DATA,24751065,"24751065 us"
