seq,cycle,pos,char,gpio,t0_ns,t1_ns,t_latency_ns,valid,t_latency_ms,t_latency_ns_raw,t_latency_ns_drift
91,7,7,N,1,29171470000,1401134940832,8297698,True,8.297698,1371963470832,8908937
92,7,8,L,2,29271472000,1401223507732,-3135166,True,-3.135166,1371952035732,-2523927
93,7,9,A,0,29371473000,1401329081532,2439869,True,2.439869,1371957608532,3051108
94,7,10,N,1,29471473000,1401423302132,-3337295,True,-3.337295,1371951829132,-2726056
94,7,10,N,1,29471473000,1401423302132,-3337295,True,-3.337295,1371951829132,-2726056
95,7,11,D,5,29571475000,1401528097032,1457840,True,1.45784,1371956622032,2069079
96,8,0,F,11,29671476000,1401624027432,-2610524,True,-2.610524,1371952551432,-1999285
97,8,1,H,13,29771478000,1401727922132,1284410,True,1.28441,1371956444132,1895649
98,8,2,B,4,29871479000,1401824190432,-2446053,True,-2.446053,1371952711432,-1834814
99,8,3,U,15,29971481000,1401928657532,2021281,True,2.021281,1371957176532,2632520
100,8,4,R,14,30071483000,1402024950932,-1685083,True,-1.685083,1371953467932,-1073844
101,8,5,G,10,30171485000,1402127583732,947952,True,0.947952,1371956098732,1559191
102,8,6,E,12,30271488000,1402225326332,-1310212,True,-1.310212,1371953838332,-698973
103,8,7,N,1,30371490000,1402325012632,-1623677,True,-1.623677,1371953522632,-1012438
103,8,7,N,1,30371490000,1402325012632,-1623677,True,-1.623677,1371953522632,-1012438
104,8,8,L,2,30471493000,1402425064432,-1572641,True,-1.572641,1371953571432,-961402
105,8,9,A,0,30571495000,1402519894632,-6742206,True,-6.742206,1371948399632,-6130967
106,8,10,N,1,30671497000,1402633432932,6796328,True,6.796328,1371961935932,7407567
106,8,10,N,1,30671497000,1402633432932,6796328,True,6.796328,1371961935932,7407567
107,8,11,D,5,30771500000,1402729517332,2879964,True,2.879964,1371958017332,3491203
108,9,0,F,11,30871502000,1402825650532,-986600,True,-0.9866,1371954148532,-375361
109,9,1,H,13,30971503000,1402920599732,-6036164,True,-6.036164,1371949096732,-5424925
110,9,2,B,4,31071504000,1403023461632,-3173029,True,-3.173029,1371951957632,-2561790
111,9,3,U,15,31171505000,1403119781532,-6851894,True,-6.851894,1371948276532,-6240655
112,9,4,R,14,31271507000,1403225468532,-1164658,True,-1.164658,1371953961532,-553419
113,9,5,G,10,31371509000,1403329451532,2818576,True,2.818576,1371957942532,3429815
114,9,6,E,12,31471512000,1403425404432,-1229288,True,-1.229288,1371953892432,-618049
115,9,7,N,1,31571513000,1403527816132,1183647,True,1.183647,1371956303132,1794886
115,9,7,N,1,31571513000,1403527816132,1183647,True,1.183647,1371956303132,1794886
116,9,8,L,2,31671515000,1403625161832,-1470417,True,-1.470417,1371953646832,-859178
117,9,9,A,0,31771516000,1403728541332,1910317,True,1.910317,1371957025332,2521556
118,9,10,N,1,31871518000,1403825068332,-1562446,True,-1.562446,1371953550332,-951207
118,9,10,N,1,31871518000,1403825068332,-1562446,True,-1.562446,1371953550332,-951207
119,9,11,D,5,31971520000,1403927250132,619588,True,0.619588,1371955730132,1230827
120,10,0,F,11,32071523000,1404024795032,-1836276,True,-1.836276,1371953272032,-1225037
121,10,1,H,13,32171526000,1404127360532,728459,True,0.728459,1371955834532,1339698
122,10,2,B,4,32271528000,1404225562432,-1069405,True,-1.069405,1371954034432,-458166
123,10,3,U,15,32371529000,1404329035432,2404830,True,2.40483,1371957506432,3016069
124,10,4,R,14,32471530000,1404425390032,-1239334,True,-1.239334,1371953860032,-628095
125,10,5,G,10,32571531000,1404529390232,2762100,True,2.7621,1371957859232,3373339
126,10,6,E,12,32671532000,1404623959932,-2666963,True,-2.666963,1371952427932,-2055724
127,10,7,N,1,32771535000,1404731542132,4914471,True,4.914471,1371960007132,5525710
127,10,7,N,1,32771535000,1404731542132,4914471,True,4.914471,1371960007132,5525710
128,10,8,L,2,32871537000,1404823092632,-3534793,True,-3.534793,1371951555632,-2923554
129,10,9,A,0,32971539000,1404928147632,1520442,True,1.520442,1371956608632,2131681
130,10,10,N,1,33071540000,1405024956532,-1669422,True,-1.669422,1371953416532,-1058183
130,10,10,N,1,33071540000,1405024956532,-1669422,True,-1.669422,1371953416532,-1058183
131,10,11,D,5,33171541000,1405129269932,2645212,True,2.645212,1371957728932,3256451
132,11,0,F,11,33271543000,1405223454432,-3170051,True,-3.170051,1371951911432,-2558812
133,11,1,H,13,33371545000,1405327892232,1267983,True,1.267983,1371956347232,1879222
134,11,2,B,4,33471547000,1405424854332,-1769681,True,-1.769681,1371953307332,-1158442
135,11,3,U,15,33571549000,1405528508832,1885054,True,1.885054,1371956959832,2496293
136,11,4,R,14,33671552000,1405626071032,-553511,True,-0.553511,1371954519032,57728
137,11,5,G,10,33771555000,1405728750632,2125325,True,2.125325,1371957195632,2736564
138,11,6,E,12,33871558000,1405823362032,-3264039,True,-3.264039,1371951804032,-2652800
139,11,7,N,1,33971559000,1405928499932,1875095,True,1.875095,1371956940932,2486334
139,11,7,N,1,33971559000,1405928499932,1875095,True,1.875095,1371956940932,2486334
140,11,8,L,2,34071561000,1406026249532,-375069,True,-0.375069,1371954688532,236170
141,11,9,A,0,34171563000,1406119682032,-6942333,True,-6.942333,1371948119032,-6331094
142,11,10,N,1,34271565000,1406223955832,-2668298,True,-2.668298,1371952390832,-2057059
142,11,10,N,1,34271565000,1406223955832,-2668298,True,-2.668298,1371952390832,-2057059
143,11,11,D,5,34371566000,1406327176732,553837,True,0.553837,1371955610732,1165076
144,12,0,F,11,34471568000,1406423964532,-2658127,True,-2.658127,1371952396532,-2046888
145,12,1,H,13,34571570000,1406519832032,-6790392,True,-6.790392,1371948262032,-6179153
146,12,2,B,4,34671572000,1406627070232,448043,True,0.448043,1371955498232,1059282
147,12,3,U,15,34771573000,1406730859232,4238278,True,4.238278,1371959286232,4849517
149,12,5,G,10,34971577000,1406928870132,2249649,True,2.249649,1371957293132,2860888
150,12,6,E,12,35071580000,1407025768232,-853015,True,-0.853015,1371954188232,-241776
151,12,7,N,1,35171582000,1407128077232,1456220,True,1.45622,1371956495232,2067459
151,12,7,N,1,35171582000,1407128077232,1456220,True,1.45622,1371956495232,2067459
152,12,8,L,2,35271584000,1407223184832,-3435944,True,-3.435944,1371951600832,-2824705
153,12,9,A,0,35371586000,1407326851532,230990,True,0.23099,1371955265532,842229
154,12,10,N,1,35471588000,1407423111832,-3508473,True,-3.508473,1371951523832,-2897234
154,12,10,N,1,35471588000,1407423111832,-3508473,True,-3.508473,1371951523832,-2897234
155,12,11,D,5,35571591000,1407527451332,830261,True,0.830261,1371955860332,1441500
156,13,0,F,11,35671594000,1407623165632,-3456203,True,-3.456203,1371951571632,-2844964
157,13,1,H,13,35771595000,1407727714332,1093732,True,1.093732,1371956119332,1704971
158,13,2,B,4,35871597000,1407823439432,-3180932,True,-3.180932,1371951842432,-2569693
159,13,3,U,15,35971599000,1407927230832,610702,True,0.610702,1371955631832,1221941
160,13,4,R,14,36071600000,1408024406232,-2212661,True,-2.212661,1371952806232,-1601422
161,13,5,G,10,36171602000,1408127496132,877473,True,0.877473,1371955894132,1488712
162,13,6,E,12,36271604000,1408223070532,-3547890,True,-3.54789,1371951466532,-2936651
163,13,7,N,1,36371605000,1408327071632,454444,True,0.454444,1371955466632,1065683
163,13,7,N,1,36371605000,1408327071632,454444,True,0.454444,1371955466632,1065683
164,13,8,L,2,36471606000,1408424066832,-2549120,True,-2.54912,1371952460832,-1937881
165,13,9,A,0,36571609000,1408527885432,1268715,True,1.268715,1371956276432,1879954
166,13,10,N,1,36671612000,1408623982432,-2635049,True,-2.635049,1371952370432,-2023810
166,13,10,N,1,36671612000,1408623982432,-2635049,True,-2.635049,1371952370432,-2023810
167,13,11,D,5,36771614000,1408727549332,932085,True,0.932085,1371955935332,1543324
168,14,0,F,11,36871616000,1408824570632,-2046378,True,-2.046378,1371952954632,-1435139
169,14,1,H,13,36971618000,1408928460132,1843356,True,1.843356,1371956842132,2454595
170,14,2,B,4,37071620000,1409024317632,-2298908,True,-2.298908,1371952697632,-1687669
171,14,3,U,15,37171622000,1409127843532,1227227,True,1.227227,1371956221532,1838466
172,14,4,R,14,37271625000,1409223689532,-2927537,True,-2.927537,1371952064532,-2316298
173,14,5,G,10,37371627000,1409328977132,2360297,True,2.360297,1371957350132,2971536
174,14,6,E,12,37471629000,1409432113432,5496833,True,5.496833,1371960484432,6108072
175,14,7,N,1,37571630000,1409521126832,-5488531,True,-5.488531,1371949496832,-4877292
