device,vkey,scancode,e0,e1,t1_ns,keyname
293540923,78,49,0,0,1397823285632,"N"
293540923,68,32,0,0,1397928452132,"D"
293540923,70,33,0,0,1398025647632,"F"
293540923,72,35,0,0,1398128823732,"H"
293540923,66,48,0,0,1398223916032,"B"
293540923,85,22,0,0,1398333190332,"U"
293540923,82,19,0,0,1398423216132,"R"
293540923,71,34,0,0,1398527803032,"G"
293540923,69,18,0,0,1398629835332,"E"
293540923,78,49,0,0,1398728001832,"N"
293540923,76,38,0,0,1398823694332,"L"
293540923,65,30,0,0,1398919801832,"A"
293540923,78,49,0,0,1399023847832,"N"
293540923,68,32,0,0,1399129915232,"D"
293540923,70,33,0,0,1399223987332,"F"
293540923,72,35,0,0,1399320562432,"H"
293540923,66,48,0,0,1399423848632,"B"
293540923,85,22,0,0,1399519233132,"U"
293540923,82,19,0,0,1399624320532,"R"
293540923,71,34,0,0,1399720493832,"G"
293540923,69,18,0,0,1399837057032,"E"
293540923,78,49,0,0,1399928438332,"N"
293540923,76,38,0,0,1400024645132,"L"
293540923,65,30,0,0,1400127600832,"A"
293540923,78,49,0,0,1400224090332,"N"
293540923,68,32,0,0,1400327262132,"D"
293540923,70,33,0,0,1400423309432,"F"
293540923,72,35,0,0,1400527646232,"H"
293540923,66,48,0,0,1400623075132,"B"
293540923,85,22,0,0,1400728328532,"U"
293540923,82,19,0,0,1400824969832,"R"
293540923,71,34,0,0,1400927939032,"G"
293540923,69,18,0,0,1401023714732,"E"
293540923,78,49,0,0,1401134940832,"N"
293540923,76,38,0,0,1401223507732,"L"
293540923,65,30,0,0,1401329081532,"A"
293540923,78,49,0,0,1401423302132,"N"
293540923,68,32,0,0,1401528097032,"D"
293540923,70,33,0,0,1401624027432,"F"
293540923,72,35,0,0,1401727922132,"H"
293540923,66,48,0,0,1401824190432,"B"
293540923,85,22,0,0,1401928657532,"U"
293540923,82,19,0,0,1402024950932,"R"
293540923,71,34,0,0,1402127583732,"G"
293540923,69,18,0,0,1402225326332,"E"
293540923,78,49,0,0,1402325012632,"N"
293540923,76,38,0,0,1402425064432,"L"
293540923,65,30,0,0,1402519894632,"A"
293540923,78,49,0,0,1402633432932,"N"
293540923,68,32,0,0,1402729517332,"D"
293540923,70,33,0,0,1402825650532,"F"
293540923,72,35,0,0,1402920599732,"H"
293540923,66,48,0,0,1403023461632,"B"
293540923,85,22,0,0,1403119781532,"U"
293540923,82,19,0,0,1403225468532,"R"
293540923,71,34,0,0,1403329451532,"G"
293540923,69,18,0,0,1403425404432,"E"
293540923,78,49,0,0,1403527816132,"N"
293540923,76,38,0,0,1403625161832,"L"
293540923,65,30,0,0,1403728541332,"A"
293540923,78,49,0,0,1403825068332,"N"
293540923,68,32,0,0,1403927250132,"D"
293540923,70,33,0,0,1404024795032,"F"
293540923,72,35,0,0,1404127360532,"H"
293540923,66,48,0,0,1404225562432,"B"
293540923,85,22,0,0,1404329035432,"U"
293540923,82,19,0,0,1404425390032,"R"
293540923,71,34,0,0,1404529390232,"G"
293540923,69,18,0,0,1404623959932,"E"
293540923,78,49,0,0,1404731542132,"N"
293540923,76,38,0,0,1404823092632,"L"
293540923,65,30,0,0,1404928147632,"A"
293540923,78,49,0,0,1405024956532,"N"
293540923,68,32,0,0,1405129269932,"D"
293540923,70,33,0,0,1405223454432,"F"
293540923,72,35,0,0,1405327892232,"H"
293540923,66,48,0,0,1405424854332,"B"
293540923,85,22,0,0,1405528508832,"U"
293540923,82,19,0,0,1405626071032,"R"
293540923,71,34,0,0,1405728750632,"G"
293540923,69,18,0,0,1405823362032,"E"
293540923,78,49,0,0,1405928499932,"N"
293540923,76,38,0,0,1406026249532,"L"
293540923,65,30,0,0,1406119682032,"A"
293540923,78,49,0,0,1406223955832,"N"
293540923,68,32,0,0,1406327176732,"D"
293540923,70,33,0,0,1406423964532,"F"
293540923,72,35,0,0,1406519832032,"H"
293540923,66,48,0,0,1406627070232,"B"
293540923,85,22,0,0,1406730859232,"U"
293540923,82,19,0,0,1406834669832,"R"
293540923,71,34,0,0,1406928870132,"G"
293540923,69,18,0,0,1407025768232,"E"
293540923,78,49,0,0,1407128077232,"N"
293540923,76,38,0,0,1407223184832,"L"
293540923,65,30,0,0,1407326851532,"A"
293540923,78,49,0,0,1407423111832,"N"
293540923,68,32,0,0,1407527451332,"D"
293540923,70,33,0,0,1407623165632,"F"
293540923,72,35,0,0,1407727714332,"H"
293540923,66,48,0,0,1407823439432,"B"
293540923,85,22,0,0,1407927230832,"U"
293540923,82,19,0,0,1408024406232,"R"
293540923,71,34,0,0,1408127496132,"G"
293540923,69,18,0,0,1408223070532,"E"
293540923,78,49,0,0,1408327071632,"N"
293540923,76,38,0,0,1408424066832,"L"
293540923,65,30,0,0,1408527885432,"A"
293540923,78,49,0,0,1408623982432,"N"
293540923,68,32,0,0,1408727549332,"D"
293540923,70,33,0,0,1408824570632,"F"
293540923,72,35,0,0,1408928460132,"H"
293540923,66,48,0,0,1409024317632,"B"
293540923,85,22,0,0,1409127843532,"U"
293540923,82,19,0,0,1409223689532,"R"
293540923,71,34,0,0,1409328977132,"G"
293540923,69,18,0,0,1409432113432,"E"
293540923,78,49,0,0,1409521126832,"N"
293540923,76,38,0,0,1409625381632,"L"
293540923,65,30,0,0,1409721038832,"A"
