seq,cycle,pos,char,gpio,t0_us,host_rx_ns
431,35,11,D,5,63172104,1435178244232
432,36,0,F,11,63272107,1435274576432
433,36,1,H,13,63372108,1435369194832
434,36,2,B,4,63472109,1435479982032
435,36,3,U,15,63572111,1435575915732
436,36,4,R,14,63672112,1435671959432
437,36,5,G,10,63772114,1435781671532
438,36,6,E,12,63872116,1435877247632
439,36,7,N,1,63972116,1435973286532
440,36,8,L,2,64072119,1436069031132
441,36,9,A,0,64172121,1436180694732
442,36,10,N,1,64272123,1436276433832
443,36,11,D,5,64372124,1436389009432
444,37,0,F,11,64472126,1436483146132
445,37,1,H,13,64572127,1436579232132
446,37,2,B,4,64672129,1436675477532
447,37,3,U,15,64772130,1436771375932
448,37,4,R,14,64872131,1436882943432
449,37,5,G,10,64972133,1436978760132
450,37,6,E,12,65072135,1437074783832
451,37,7,N,1,65172137,1437169485332
452,37,8,L,2,65272138,1437281026832
453,37,9,A,0,65372140,1437376539832
454,37,10,N,1,65472142,1437472918732
455,37,11,D,5,65572144,1437584568132
456,38,0,F,11,65672146,1437679125032
457,38,1,H,13,65772148,1437773933332
458,38,2,B,4,65872150,1437869976332
459,38,3,U,15,65972151,1437982278532
460,38,4,R,14,66072154,1438078661032
461,38,5,G,10,66172154,1438173550532
462,38,6,E,12,66272154,1438269537332
463,38,7,N,1,66372156,1438382177332
464,38,8,L,2,66472159,1438477086132
465,38,9,A,0,66572161,1438572756732
466,38,10,N,1,66672164,1438668517632
467,38,11,D,5,66772165,1438779943932
468,39,0,F,11,66872168,1438875522032
469,39,1,H,13,66972171,1438972368432
470,39,2,B,4,67072173,1439067453732
471,39,3,U,15,67172175,1439178811532
472,39,4,R,14,67272177,1439273002232
473,39,5,G,10,67372179,1439368566832
474,39,6,E,12,67472180,1439480733832
475,39,7,N,1,67572181,1439576348132
476,39,8,L,2,67672183,1439670763932
477,39,9,A,0,67772185,1439782273432
478,39,10,N,1,67872187,1439877797232
479,39,11,D,5,67972189,1439980325632
480,40,0,F,11,68072191,1440075952132
481,40,1,H,13,68172193,1440171804032
482,40,2,B,4,68272194,1440266804132
483,40,3,U,15,68372195,1440377774932
484,40,4,R,14,68472198,1440471512132
485,40,5,G,10,68572200,1440582696032
486,40,6,E,12,68672202,1440678245632
487,40,7,N,1,68772203,1440773574532
488,40,8,L,2,68872204,1440868881332
489,40,9,A,0,68972206,1440981267932
490,40,10,N,1,69072208,1441075894532
491,40,11,D,5,69172210,1441187821332
492,41,0,F,11,69272211,1441267795532
493,41,1,H,13,69372213,1441378908032
494,41,2,B,4,69472215,1441474306332
495,41,3,U,15,69572217,1441569888632
496,41,4,R,14,69672218,1441681111932
497,41,5,G,10,69772220,1441776242832
498,41,6,E,12,69872222,1441870890032
